Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Wind_Direction,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season,Hour,DayOfWeek,Month,Pollution_Source
Bangladesh,Mymensingh,Sector_2,24.90062,90.39997,5.0,106.74,11.87,2.48,58.33,728.92,128.35,19.05,68,2.41,NW,673.42,5000.0,5000.0,5000.0,2025-12-17 20:53:36,winter,20,2,12,Vehicular
India,Lucknow,City Center,26.8381,80.9346001,5.0,240.2569368331544,25.5804831903939,4.02,35.55,1211.2714346843854,92.42,18.0,100,3.7,SE,31.71,5000.0,5000.0,2803.0,2024-08-06 12:58:00,monsoon,12,1,8,Vehicular
Brazil,Aracaju,Sector_4,-10.94574,-37.07186,2.0,2.14,0.15,0.09,117.57,107.28,8.18,43.4,45,7.2,N,45.29,234.03,5000.0,976.69,2024-07-27 14:58:00,summer,14,5,7,Natural
Bangladesh,Savār,Sector_4,23.81573,90.23553,5.0,80.66180871007043,14.256,3.16,119.43,256.2298261764475,120.59677285501142,36.6,48,4.2,SW,981.7,1040.44,172.0,5000.0,2024-08-11 08:00:00,spring,8,6,8,Burning
Nigeria,Lagos,Sector_1,6.44507,3.40029,1.0,135.37766838792209,39.09933361984566,29.99267062143984,38.49,166.66,12.3,32.13,62,4.12,W,79.35,187.0,5000.0,5000.0,2025-12-17 20:51:01,winter,20,2,12,Industrial
Pakistan,Peshawar,Sector_4,33.99236,71.59786,5.0,159.33,18.67,4.06,187.21,1493.39,272.18,28.9,33,0.6,SE,8.72,184.24,5000.0,5000.0,2024-07-07 18:16:00,summer,18,6,7,Vehicular
Brazil,Sorocaba,Sector_4,-23.53997,-47.46144,1.0,1.5,0.28,0.24,22.54,34.9469,11.61,24.0,100,8.6,SE,333.32,539.18,5000.0,5000.0,2024-09-22 16:20:00,monsoon,16,6,9,Natural
Brazil,Juiz de Fora,Sector_3,-21.76359,-43.33982,1.0,0.91,1.99,2.66,21.9,34.9469,2.65,31.9,100,7.1,S,37.86,209.2,5000.0,5000.0,2024-08-07 18:01:00,monsoon,18,2,8,Natural
Brazil,Aracaju,Sector_2,-10.91614,-37.11364,2.0,1.19,0.13,0.09,64.09,73.48,5.88,29.02,61,6.17,NW,816.07,940.58,5000.0,5000.0,2025-12-17 21:25:56,winter,21,2,12,Natural
Pakistan,Sahiwal,Sector_4,30.70855,73.12269,5.0,153.6,8.6,1.47,53.74,681.07,317.55,26.2,44,3.3,SE,1085.0,5000.0,5000.0,5000.0,2024-07-16 09:26:00,monsoon,9,1,7,Vehicular
China,Xi'an,Sector_2,34.28779,108.96861,5.0,109.72535532048592,41.083029784736965,29.99267062143984,67.21,833.92,186.7,1.48,46,2.15,NW,96.64,1947.0,5000.0,5000.0,2025-12-17 21:59:15,winter,21,2,12,Industrial
Brazil,Juiz de Fora,Sector_1,-21.7405,-43.32439,1.0,1.14,2.43,1.91,23.24,41.92,3.07,27.5,100,6.3,SE,620.14,5000.0,5000.0,5000.0,2024-07-04 12:51:00,monsoon,12,3,7,Natural
Pakistan,Kohat,City Center,33.5967144,71.4399944,4.0,59.42,12.36,1.33,48.81,627.59,124.47,15.83,24,0.93,NW,166.28,5000.0,5000.0,5000.0,2025-12-17 20:47:54,winter,20,2,12,Vehicular
USA,Chicago,City Center,41.8755616,-87.6244212,2.0,254.1434156227481,26.18465410917412,0.23,27.21,2258.242560524998,6.39,6.5,100,5.9,SE,7.85,241.55,5000.0,1993.0,2024-07-17 20:33:00,monsoon,20,2,7,Vehicular
India,Nashik,Sector_1,20.00742,73.76649,5.0,68.8528217305178,58.4825,29.99267062143984,181.74,1340.52,208.6,27.9,20,3.0,N,32.18,1838.0,5000.0,5000.0,2024-04-10 11:57:00,spring,11,2,4,Industrial
China,Qingdao,Sector_1,36.08825,120.42592,3.0,174.11054941185498,32.7913754006218,12.27,38.73,1953.498667568204,28.44,7.6,57,2.2,SE,1122.56,5000.0,5000.0,1897.0,2024-09-26 12:12:00,monsoon,12,3,9,Vehicular
Brazil,Florianópolis,City Center,-27.5973002,-48.5496098,1.0,61.53428648370112,0.46,0.42,80.96,343.2745274936724,154.5263473481871,32.3,41,5.5,NE,45.23,291.96,2995.0,1332.06,2024-03-10 19:10:00,spring,19,6,3,Agricultural
China,Luoyang,City Center,34.6196539,112.4477046,5.0,282.73,58.4825,25.94,12.31,1444.43,332.86,5.63,54,1.75,NW,100.11,5000.0,5000.0,5000.0,2025-12-17 20:03:58,winter,20,2,12,Vehicular
Russia,Khabarovsk,Sector_4,51.65074,136.17993,1.0,0.5,0.14,0.09,53.31,134.33,0.61,-27.48,96,1.45,NW,5000.0,5000.0,5000.0,5000.0,2025-12-17 20:17:17,winter,20,2,12,Natural
Indonesia,Palu,Sector_1,-0.9206,119.84398,1.0,6.045,1.428,0.1,15.5,234.368,7.643999999999999,30.8,83,1.7,NE,131.5,620.93,1324.44,5000.0,2024-05-22 11:48:00,spring,11,2,5,Natural
Nigeria,Lagos,Sector_2,6.45348,3.38427,1.0,11.83,0.12,0.11,81.54,315.14,23.38,44.0,45,5.5,SE,47.27,914.02,5000.0,5000.0,2024-07-31 16:10:00,summer,16,2,7,Natural
Russia,Tolyatti,City Center,53.5098845,49.4189187,1.0,82.39125659826307,9.54,0.43,30.08,207.5882015739628,121.20445695275272,6.5,79,1.8,NE,241.93,949.07,787.0,456.44,2024-03-27 13:41:00,spring,13,2,3,Burning
Pakistan,Gujrat,Sector_1,32.55265,74.06926,5.0,292.32,53.75,6.15,28.7,2414.15,410.53,17.03,22,2.14,W,297.53,5000.0,5000.0,5000.0,2025-12-17 20:20:31,winter,20,2,12,Vehicular
Germany,Erfurt,Sector_1,50.9769,11.00518,3.0,80.52,49.69199999999999,1.73,15.36,1157.552,73.16399999999999,18.5,68,2.5,W,292.55,1156.72,327.72,502.33,2024-08-30 11:11:00,summer,11,4,8,Industrial
India,Coimbatore,City Center,11.0018115,76.9628425,3.0,310.3513580274628,30.25813359206809,5.31,30.91,821.5628146692122,22.43,36.1,100,3.0,S,16.09,0.0,1806.59,285.0,2024-07-25 11:28:00,monsoon,11,3,7,Industrial
Russia,Izhevsk,Sector_4,56.84871,53.24486,1.0,1.69,13.69,3.05,19.29,99.6,2.6,-10.1,100,3.0,SE,352.58,712.11,5000.0,39.16,2024-09-04 12:13:00,monsoon,12,2,9,Natural
India,Gwalior,Sector_4,26.19802,78.1464,5.0,148.48,11.46,6.46,184.88,614.71,237.35,30.8,10,1.8,N,103.46,5000.0,5000.0,5000.0,2024-07-12 20:59:00,summer,20,4,7,Vehicular
Germany,Erfurt,Sector_4,50.96814,11.03986,3.0,83.88,52.344,1.64,18.43,1253.44,79.43599999999999,17.1,64,3.9,SW,198.0,685.51,2246.91,99.48,2024-06-18 13:32:00,summer,13,1,6,Industrial
India,Visakhapatnam,Sector_1,17.66427,83.26493,5.0,200.53,2.14,9.5,175.78,533.59,214.35,20.95,88,1.03,NW,730.14,5000.0,5000.0,5000.0,2025-12-17 20:54:24,winter,20,2,12,Vehicular
Pakistan,Pakpattan,Sector_1,30.38846,73.42286,5.0,372.14,7.87,2.56,110.65,1248.49,552.92,18.92,19,1.51,W,137.79,5000.0,5000.0,5000.0,2025-12-17 21:29:23,winter,21,2,12,Vehicular
Russia,Irkutsk,Sector_4,52.28335,104.23362,2.0,0.87,0.26,0.24,115.15,280.31,0.89,3.4,61,4.5,SW,204.33,1548.79,5000.0,1735.5,2024-08-23 15:37:00,summer,15,4,8,Natural
Bangladesh,Panchagarh,Sector_1,26.32706,88.56012,5.0,342.7210508239026,14.127597304113491,6.03,69.15,1875.2596566295276,233.62,18.36,53,2.27,NW,570.95,1251.04,1079.93,2591.0,2025-12-17 20:57:14,winter,20,2,12,Industrial
Pakistan,Jacobabad,Sector_1,28.25025,68.46347,5.0,29.25,6.47,2.78,47.29,347.94,142.13,33.7,65,3.7,S,0.06,5000.0,5000.0,5000.0,2024-09-14 20:45:00,monsoon,20,5,9,Natural
Brazil,Campinas,Sector_3,-22.88012,-47.05534,1.0,6.300000000000001,0.396,0.2,58.15,108.256,20.468,36.9,42,8.4,SW,70.27,474.15,1516.84,5000.0,2024-08-30 13:14:00,summer,13,4,8,Natural
Indonesia,Batam,Sector_1,1.0739,104.01732,2.0,116.70170096959316,34.024150351611766,29.99267062143984,59.63,557.17,17.1,36.1,89,2.4,E,856.82,591.0,5000.0,5000.0,2024-05-21 12:24:00,spring,12,1,5,Industrial
Germany,Ludwigshafen,Sector_4,49.46581,8.47005,2.0,20.64,22.76,1.29,57.71,452.61,22.19,14.9,72,1.4,N,434.74,466.61,5000.0,72.39,2024-03-13 18:43:00,spring,18,2,3,Vehicular
Bangladesh,Narayanganj,City Center,23.6236732,90.4988075,5.0,34.18,6.87,3.06,52.65,292.36,62.91,27.8,86,5.1,SE,39.91,666.41,5000.0,5000.0,2024-08-04 15:58:00,monsoon,15,6,8,Natural
Germany,Halle,City Center,51.4824354,11.9712985,3.0,81.09,22.056,1.31,59.15,816.368,83.398,23.1,59,6.6,SW,371.94,219.36,2995.73,338.74,2024-08-07 10:19:00,summer,10,2,8,Burning
Germany,Dresden,Sector_1,51.05676,13.74948,3.0,302.30436476843704,21.50037916044419,1.35,42.51,2206.2477271171806,81.87199999999999,15.9,51,3.6,W,164.17,120.85,1137.98,2559.0,2024-07-04 17:37:00,summer,17,3,7,Burning
Pakistan,Kasur,Sector_1,31.15582,74.43079,5.0,426.27,17.33,3.6,105.63,977.32,510.52,29.5,22,3.3,NE,210.54,5000.0,5000.0,5000.0,2024-03-12 15:51:00,spring,15,1,3,Vehicular
Bangladesh,Comilla,City Center,23.4628834,91.1827987,5.0,111.0,8.11,2.62,155.89,585.9,167.7,33.9,44,3.0,SW,92.18,1602.92,5000.0,5000.0,2024-08-30 08:27:00,summer,8,4,8,Vehicular
Germany,Wuppertal,Sector_2,51.27498,7.15545,1.0,4.3,14.56,0.78,16.92,118.15,7.51,16.1,100,3.6,E,232.53,535.95,2633.24,308.68,2024-09-23 17:30:00,monsoon,17,0,9,Natural
Indonesia,Kendari,Sector_1,-3.95837,122.50264,1.0,83.10601455669399,2.42,0.24,56.15,370.6811615164953,222.04028071665343,27.5,85,0.8,NE,228.87,5000.0,1647.0,5000.0,2024-05-05 12:36:00,summer,12,6,5,Burning
China,Shanghai,Sector_1,31.2426,121.47651,5.0,72.08357900061367,58.4825,29.99267062143984,0.0,1008.39,118.15,10.2,100,5.4,SE,111.6,354.0,5000.0,559.84,2024-07-04 09:54:00,monsoon,9,3,7,Industrial
Brazil,Joinville,Sector_4,-26.2908,-48.88137,1.0,1.12,0.23,0.65,35.29,39.98,2.29,36.0,92,5.0,S,354.21,202.7,2164.87,737.77,2024-07-22 15:26:00,monsoon,15,0,7,Natural
Brazil,Ananindeua,Sector_3,-1.40949,-48.42664,1.0,76.13501647848356,0.28,0.12,22.91,377.199212322858,269.1716522682083,37.9,100,5.6,S,129.46,131.0,1167.0,5000.0,2024-09-20 13:39:00,spring,13,4,9,Agricultural
Indonesia,Surabaya,City Center,-7.2462836,112.7377674,1.0,2.48,0.61,0.21,90.07,196.63,14.39,46.0,80,1.7,W,80.02,333.57,5000.0,897.07,2024-06-19 19:57:00,summer,19,2,6,Natural
China,Wuhan,Sector_2,30.57246,114.30121,5.0,150.45,58.4825,25.78,0.0,1067.21,215.88,17.2,70,3.6,SE,394.86,1347.19,5000.0,5000.0,2024-09-14 19:38:00,monsoon,19,5,9,Industrial
China,Quanzhou,Sector_4,25.21817,118.34127,3.0,22.23,12.95,13.4,44.24,159.02,30.78,23.4,100,3.2,S,1514.77,5000.0,5000.0,5000.0,2024-08-23 08:05:00,monsoon,8,4,8,Natural
Bangladesh,Magura,Sector_2,23.47849,89.38383,5.0,256.53,33.94,17.87,81.68,1536.23,298.76,18.97,56,2.76,N,758.89,5000.0,5000.0,5000.0,2025-12-17 20:33:53,winter,20,2,12,Vehicular
Indonesia,Pematangsiantar,Sector_4,3.01081,99.05848,1.0,11.75,1.43,0.2,54.26,373.09,13.66,38.1,78,2.7,N,258.35,5000.0,5000.0,5000.0,2024-07-22 14:30:00,summer,14,0,7,Natural
China,Zhengzhou,Sector_4,34.75967,113.58151,5.0,166.7,58.4825,15.51,0.0,1089.27,197.62,9.0,78,4.7,SE,128.94,5000.0,5000.0,5000.0,2024-08-08 12:27:00,monsoon,12,3,8,Vehicular
Germany,Mannheim,Sector_4,49.46985,8.52901,2.0,30.0,28.98,1.44,57.11,534.208,27.16,14.2,85,2.0,NE,836.35,1442.42,35.47,1922.45,2024-05-04 16:09:00,spring,16,5,5,Vehicular
Nigeria,Jos,City Center,9.9175125,8.8979401,5.0,140.32,0.78,0.23,80.8,272.17,431.75,35.6,19,3.9,E,135.13,5000.0,5000.0,5000.0,2024-03-20 20:31:00,spring,20,2,3,Agricultural
Nigeria,Katsina,Sector_1,12.58288,7.59681,5.0,145.88,0.93,0.65,86.96,205.51,512.75,28.78,11,4.82,N,1306.0,5000.0,5000.0,5000.0,2025-12-17 20:54:50,winter,20,2,12,Natural
Indonesia,Jakarta,Sector_3,-6.20509,106.8559,1.0,110.01693395678562,58.4825,29.99267062143984,62.01,192.35,3.24,43.1,77,3.6,W,198.08,325.0,5000.0,862.15,2024-08-06 13:13:00,summer,13,1,8,Industrial
Germany,Duisburg,Sector_4,51.4309,6.77415,1.0,138.2129877358203,58.4825,29.99267062143984,22.95,99.12,4.86,16.9,100,6.0,SE,66.57,1945.0,5000.0,667.23,2024-09-10 09:58:00,monsoon,9,1,9,Industrial
USA,San Antonio,Sector_1,29.43052,-98.47681,1.0,4.64,4.11,0.09,35.27,156.12,8.07,15.85,96,1.54,NW,309.55,449.26,5000.0,408.37,2025-12-17 21:16:31,winter,21,2,12,Natural
India,Bangalore,Sector_1,12.94214,77.59996,2.0,13.41,7.53,3.14,59.72,239.0,17.99,20.91,67,3.09,W,265.86,381.62,310.73,684.83,2025-12-17 20:30:01,winter,20,2,12,Natural
USA,Nashville,Sector_4,36.12793,-86.75486,2.0,50.92147926887236,3.18,0.53,33.17,305.8813670796649,106.91423834741886,18.0,81,6.4,S,120.9,39.04,2211.0,2299.12,2024-07-23 17:38:00,summer,17,1,7,Agricultural
Germany,Augsburg,Sector_4,48.39207,10.9253,2.0,2.07,5.015999999999999,0.23,113.79,328.78400000000005,1.876,13.1,72,2.4,SW,799.37,186.04,862.36,586.88,2024-06-28 10:06:00,summer,10,4,6,Natural
Indonesia,Balikpapan,Sector_2,-1.21315,116.83556,1.0,10.95,2.7,0.58,11.29,341.66,13.27,32.9,76,1.3,NE,49.79,5000.0,5000.0,5000.0,2024-05-31 15:42:00,spring,15,4,5,Natural
Russia,Ulan-Ude,Sector_3,51.82819,107.59961,1.0,93.48376733753727,4.54,0.67,96.32,337.76740673308234,109.49768737006806,-2.1,69,3.1,SW,19.86,93.39,737.0,1413.19,2024-08-30 15:51:00,spring,15,4,8,Burning
Brazil,Guarulhos,City Center,-23.4675941,-46.5277704,1.0,2.8,0.11,0.15,55.87,85.96,27.53,26.6,65,5.9,NE,26.27,291.82,5000.0,843.57,2024-04-15 18:30:00,spring,18,0,4,Natural
Nigeria,Ikot Ekpene,Sector_2,5.16333,7.70138,1.0,1.53,0.24,0.15,18.72,130.08,3.16,31.8,49,4.28,N,807.2,5000.0,5000.0,5000.0,2025-12-17 20:56:40,winter,20,2,12,Natural
Nigeria,Warri,City Center,5.5186186,5.7480196,1.0,1.53,0.11,0.11,18.49,123.7,3.31,29.66,60,3.36,NW,32.44,5000.0,5000.0,5000.0,2025-12-17 20:20:06,winter,20,2,12,Natural
Nigeria,Iwo,Sector_1,7.63193,4.20339,2.0,8.21,3.8,2.39,40.94,236.23,13.75,44.8,64,2.8,SE,259.16,5000.0,5000.0,5000.0,2024-09-13 16:47:00,monsoon,16,4,9,Natural
Pakistan,Kasur,Sector_4,31.11298,74.43224,5.0,500.0,22.41,5.53,100.82,2514.08,600.0,33.0,10,3.9,SW,45.93,5000.0,5000.0,5000.0,2024-07-06 15:01:00,summer,15,5,7,Vehicular
China,Luoyang,City Center,34.6196539,112.4477046,5.0,383.83,57.63,21.24,16.12,1499.34,403.06,16.5,32,2.5,E,100.11,5000.0,5000.0,5000.0,2024-04-24 09:40:00,spring,9,2,4,Vehicular
Bangladesh,Panchagarh,Sector_2,26.31517,88.52259,5.0,142.00398721090167,33.620421625198986,3.86,84.65,1350.312596920323,271.17,38.2,43,2.4,NE,54.54,5000.0,5000.0,353.0,2024-03-31 11:34:00,spring,11,6,3,Burning
Indonesia,Medan,Sector_3,3.59657,98.6657,1.0,14.55,2.93,0.23,7.6,535.31,16.66,46.2,65,3.5,SW,50.64,517.29,5000.0,5000.0,2024-06-03 09:43:00,summer,9,0,6,Vehicular
Germany,Münster,Sector_2,51.94689,7.61266,2.0,14.23,31.44,3.7,12.81,344.26,19.83,9.34,89,3.96,NW,162.85,611.08,1928.67,245.25,2025-12-17 20:12:00,winter,20,2,12,Industrial
China,Handan,Sector_1,36.59769,114.52186,5.0,453.72,58.4825,29.93,0.0,3000.0,600.0,13.7,53,5.2,NE,126.53,5000.0,5000.0,5000.0,2024-04-16 18:01:00,spring,18,1,4,Vehicular
Indonesia,Cimahi,City Center,-6.8731527,107.5423099,1.0,2.26,0.35,0.16,38.58,88.27,6.34,26.46,82,1.35,W,48.67,106.03,701.75,5000.0,2025-12-17 20:22:33,winter,20,2,12,Natural
China,Zhengzhou,Sector_1,34.75948,113.57992,5.0,339.53,58.4825,23.01,0.0,2298.77,397.94,5.67,55,3.27,NW,2.68,5000.0,5000.0,5000.0,2025-12-17 21:41:13,winter,21,2,12,Vehicular
Bangladesh,Savār,Sector_3,23.80949,90.23444,5.0,218.85,15.012,3.04,123.01,1892.96,288.834,32.5,43,4.1,SW,938.24,873.02,674.7,5000.0,2024-06-24 13:53:00,summer,13,0,6,Burning
China,Chongqing,Sector_4,30.0454,107.86811,5.0,96.87,31.92,22.97,21.72,1514.9,222.88,23.0,64,1.6,NE,49.35,5000.0,5000.0,5000.0,2024-04-16 18:44:00,spring,18,1,4,Vehicular
Indonesia,Surakarta,Sector_2,-7.5416,110.79587,1.0,169.4536792884508,29.16259170851739,0.11,84.19,1173.3546086155206,18.914,31.3,88,3.1,E,255.97,1335.44,1886.14,2631.0,2024-04-05 20:17:00,spring,20,4,4,Burning
Brazil,Mogi das Cruzes,City Center,-23.5234284,-46.1926671,2.0,151.14259315938168,17.856744912351427,0.21,68.69,2397.622304188329,23.86,28.6,51,5.0,NE,173.01,608.23,5000.0,2514.0,2024-04-11 19:23:00,spring,19,3,4,Burning
Germany,Bonn,Sector_4,50.73781,7.06738,2.0,281.40704180737464,16.867464375867467,1.28,35.26,1481.2215715410327,45.72399999999999,25.9,49,2.9,W,301.8,726.58,556.55,500.0,2024-06-14 13:15:00,summer,13,4,6,Burning
Russia,Nizhny Tagil,Sector_2,57.9126,60.04331,1.0,1.21,3.04,1.11,34.27,81.6,1.32,-4.1,100,4.8,SE,483.85,0.0,5000.0,5000.0,2024-07-13 12:04:00,monsoon,12,5,7,Natural
Bangladesh,Bogra,City Center,24.8500662,89.3728431,5.0,96.15,18.4,6.32,27.04,650.99,88.67,28.4,83,4.7,E,10.95,170.87,1498.71,5000.0,2024-08-28 20:43:00,monsoon,20,2,8,Industrial
Pakistan,Muzaffargarh,Sector_2,30.05549,71.16214,5.0,77.78543769392877,6.71,2.87,42.59,254.4257424528316,168.35431457553568,20.1,49,4.3,SE,222.93,5000.0,1930.0,5000.0,2024-09-08 16:47:00,spring,16,6,9,Agricultural
China,Hefei,City Center,31.8665676,117.281428,5.0,94.21,58.4825,21.34,0.1,752.26,150.11,9.5,94,4.2,S,66.66,1136.78,5000.0,5000.0,2024-07-10 11:46:00,monsoon,11,2,7,Industrial
Nigeria,Jimeta,Sector_1,9.2927,12.48635,5.0,100.44,0.34,0.16,70.91,171.68,314.16,44.2,10,2.5,N,1526.61,5000.0,5000.0,5000.0,2024-04-30 15:32:00,spring,15,1,4,Agricultural
Germany,Wiesbaden,Sector_4,50.09308,8.23692,2.0,5.31,13.87,1.06,22.04,151.56,4.2,10.8,100,1.3,SE,199.51,833.36,657.19,319.32,2024-08-27 09:45:00,monsoon,9,1,8,Natural
Indonesia,Mataram,City Center,-8.5837726,116.10685,1.0,1.79,0.31,0.31,31.39,47.85,6.35,36.0,100,2.1,S,42.96,339.03,650.23,5000.0,2024-09-19 19:06:00,monsoon,19,3,9,Natural
Bangladesh,Nawabganj,Sector_3,24.59284,88.22152,5.0,235.21,37.04,7.45,51.69,1447.28,266.7,18.76,49,3.41,NW,1345.53,5000.0,5000.0,5000.0,2025-12-17 21:05:16,winter,21,2,12,Vehicular
Indonesia,Batam,Sector_4,1.09025,104.03039,2.0,223.2086646016047,32.24741762076856,0.42,35.15,2243.1247416612127,12.46,25.96,89,1.54,NW,436.04,375.79,558.44,1174.0,2025-12-17 21:48:21,winter,21,2,12,Industrial
India,Nashik,Sector_4,20.0082,73.76029,5.0,44.01550409593308,37.9,29.74,210.26,275.2996019065386,104.49487251059672,34.5,11,3.6,SE,46.04,5000.0,199.0,5000.0,2024-07-31 13:49:00,spring,13,2,7,Vehicular
Brazil,Campinas,Sector_1,-22.93281,-47.04895,1.0,42.12159774627072,0.33,0.23,56.27,395.7278021973372,262.6424127859035,36.2,43,8.6,SW,80.61,694.53,192.0,5000.0,2024-06-29 10:22:00,summer,10,5,6,Agricultural
India,Surat,City Center,21.2094892,72.8317058,5.0,54.67,11.99,29.93,98.52,269.31,62.69,32.8,71,4.5,SE,77.55,142.73,5000.0,5000.0,2024-08-10 12:17:00,monsoon,12,5,8,Industrial
Russia,Tver,Sector_4,56.89501,35.89289,2.0,7.515,4.128,0.92,124.89,439.408,11.074,19.1,70,3.1,SW,688.89,26.5,834.94,1032.95,2024-08-29 18:32:00,summer,18,3,8,Vehicular
Pakistan,Khairpur,Sector_3,27.52942,68.75982,5.0,408.05,10.16,3.52,199.84,1348.37,600.0,31.9,10,3.7,SW,178.61,5000.0,5000.0,5000.0,2024-07-25 13:20:00,summer,13,3,7,Vehicular
China,Zhengzhou,Sector_2,34.73999,113.64225,5.0,166.88,58.4825,16.46,0.0,1426.33,205.41,19.2,63,5.0,SE,297.83,5000.0,5000.0,5000.0,2024-08-19 15:58:00,monsoon,15,0,8,Vehicular
USA,Houston,Sector_4,29.73315,-95.38367,2.0,2.98,1.15,0.31,113.09,164.5,4.61,34.5,72,4.2,SW,9.75,5000.0,5000.0,5000.0,2024-07-11 09:04:00,summer,9,3,7,Natural
Bangladesh,Sirajganj,City Center,24.4572235,89.7057047,5.0,80.93,15.35,3.23,30.09,542.52,88.16,30.4,80,5.0,SE,187.31,5000.0,5000.0,5000.0,2024-07-18 12:23:00,monsoon,12,3,7,Vehicular
China,Beijing,City Center,40.190632,116.412144,5.0,285.9,58.4825,29.93,0.0,2402.56,336.84,-3.01,93,2.0,NW,1407.9,5000.0,5000.0,5000.0,2025-12-17 21:32:25,winter,21,2,12,Vehicular
India,Vadodara,Sector_4,22.26659,73.17408,5.0,49.89,7.72,14.49,92.21,212.54,56.92,34.7,85,4.1,SE,432.95,5000.0,5000.0,5000.0,2024-08-13 20:10:00,monsoon,20,1,8,Natural
China,Nanning,Sector_3,22.77866,108.3417,5.0,88.66139790463438,4.36,6.64,80.44,327.431961917341,130.9641612621259,18.19,76,2.58,W,11.33,5000.0,1010.0,5000.0,2025-12-17 20:04:06,summer,20,2,12,Burning
India,Surat,City Center,21.2094892,72.8317058,5.0,220.54657227258772,24.260737370290016,29.93,98.52,2374.6734427100564,62.69,32.8,71,4.5,SE,77.55,142.73,5000.0,988.0,2024-08-10 12:17:00,monsoon,12,5,8,Industrial
Germany,Karlsruhe,Sector_2,49.02497,8.40692,2.0,32.730000000000004,27.36,2.17,126.51,876.2080000000001,40.026,14.0,71,2.5,SW,165.74,442.94,2474.67,1301.62,2024-07-27 12:39:00,summer,12,5,7,Burning
Russia,Lipetsk,Sector_2,52.65296,39.13383,1.0,15.21,10.54,2.93,70.45,352.99,19.26,9.1,79,4.5,SW,5000.0,5000.0,5000.0,5000.0,2024-07-02 18:39:00,summer,18,1,7,Natural
Russia,Bryansk,Sector_3,53.26766,34.37174,1.0,9.16,2.41,0.58,80.74,265.68,8.49,10.0,84,2.8,NE,1392.37,573.51,5000.0,1176.98,2024-05-26 18:10:00,spring,18,6,5,Natural
India,Chennai,Sector_3,13.10023,80.29849,4.0,108.96,11.33,9.99,153.7,567.94,122.66,39.6,49,3.9,SW,462.61,2.61,5000.0,5000.0,2024-06-13 19:53:00,summer,19,3,6,Industrial
Indonesia,Banjarmasin,Sector_2,-3.30668,114.59292,2.0,7.07,0.63,0.46,102.69,232.09,12.2,39.8,73,1.6,NE,19.07,5000.0,5000.0,5000.0,2024-03-15 09:26:00,spring,9,4,3,Natural
Germany,Stuttgart,Sector_4,48.74161,9.16504,3.0,342.6874648090901,33.15040587426975,2.79,2.97,1276.154851758699,21.76,9.6,100,1.2,SE,104.16,558.63,612.07,2247.0,2024-07-20 16:19:00,monsoon,16,5,7,Industrial
India,Chandigarh,Sector_2,30.72776,76.76811,5.0,244.0,23.61,4.87,151.89,1293.07,260.33,20.3,35,3.6,NE,18.27,5000.0,5000.0,5000.0,2024-04-02 15:22:00,spring,15,1,4,Vehicular
Nigeria,Awka,Sector_1,6.21102,7.09075,2.0,4.01,1.01,0.68,25.51,130.02,13.04,45.2,37,3.7,SE,263.51,5000.0,5000.0,5000.0,2024-09-16 19:42:00,monsoon,19,0,9,Natural
India,Navi Mumbai,Sector_4,19.05327,73.05864,5.0,382.68,3.984,29.93,265.655,1875.728,403.424,42.2,12,2.9,SW,528.78,1262.88,651.91,5000.0,2024-06-05 13:15:00,summer,13,2,6,Industrial
Pakistan,Sheikhupura,Sector_2,31.70227,74.00024,5.0,284.7064698387507,36.31224776681789,3.35,34.05,938.6122382930728,230.93,29.1,57,3.6,SE,188.72,5000.0,5000.0,2812.0,2024-09-28 19:27:00,monsoon,19,5,9,Vehicular
China,Nanning,Sector_4,22.7885,108.38755,5.0,124.03454001278008,56.98456174141427,29.99267062143984,55.27,222.08,60.52,26.1,100,5.6,SE,981.53,1803.0,5000.0,5000.0,2024-07-18 16:06:00,monsoon,16,3,7,Industrial
Nigeria,Maiduguri,Sector_4,11.82607,13.18309,5.0,137.5,0.52,0.12,127.99,169.48,565.56,36.0,10,6.0,N,21.72,5000.0,5000.0,5000.0,2024-05-11 18:59:00,spring,18,5,5,Agricultural
China,Guangzhou,Sector_3,23.14762,113.25386,5.0,50.76674847764817,57.86708418875752,29.99267062143984,78.39,1418.8,177.77,35.0,10,4.1,SW,159.18,1208.0,5000.0,1909.02,2024-08-04 11:14:00,summer,11,6,8,Industrial
USA,Raleigh,Sector_3,35.80098,-78.60388,2.0,17.49,7.95,1.14,60.0,251.11,19.26,7.39,48,1.34,W,495.06,5000.0,5000.0,5000.0,2025-12-17 20:09:02,winter,20,2,12,Natural
India,New Delhi,Sector_1,28.63683,77.20848,5.0,193.81,33.51,5.47,51.45,1021.91,251.83,16.05,72,2.06,N,149.1,334.58,5000.0,5000.0,2025-12-17 21:53:43,winter,21,2,12,Industrial
USA,Washington,Sector_1,38.90181,-77.07071,2.0,16.22,12.27,2.53,48.31,223.93,18.09,4.23,63,2.06,N,60.64,5000.0,5000.0,5000.0,2025-12-17 20:20:15,winter,20,2,12,Natural
India,Ahmedabad,Sector_2,23.01295,72.5755,5.0,152.1,16.35,11.08,108.45,672.48,169.31,22.12,53,3.09,NW,161.66,5000.0,5000.0,5000.0,2025-12-17 21:29:14,winter,21,2,12,Vehicular
