Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality
32.2,70,3.5,10.2,25.4,19.3,2.59,3.9,735,17,1,5,Poor
35.6,57.6,19.4,33.5,35.1,10,1.57,5.1,424,33,2,7,Moderate
23.4,54.7,4,12.3,24.1,2.8,0.87,10.2,433,23,2,8,Good
24.8,80.3,9.2,14,12.2,4.8,0.9,11.1,277,24,1,0,Good
31.3,75,37.8,47.1,32.6,11,1.87,5.6,451,35,2,4,Poor
27.2,42.8,12.5,15,14.6,3.3,1.1,10.9,284,42,1,6,Good
26.2,64.2,1.9,6.6,19.7,6.2,1.05,13.8,369,30,3,0,Good
51.1,70,2.2,3.8,39.8,20.1,2.65,4.2,684,33,0,11,Hazardous
33.8,71.4,35.9,59.1,36.1,15,1.74,3.6,619,47,1,9,Poor
34.6,80.3,8.6,29.2,31.5,7.4,1.28,9.5,326,32,2,8,Moderate
34.6,71.6,21.7,37.5,30.7,16.4,2.18,4.1,754,56,3,11,Poor
27.4,78,5,21.9,33.8,16.5,1.57,5.6,468,35,3,8,Moderate
26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276,12,0,5,Good
33.2,72,4.1,16.3,24.8,6.6,2.02,5.9,662,37,1,0,Poor
40.8,93.8,11.3,27.2,53.4,23.2,2.72,4.7,688,33,2,3,Hazardous
16,64.1,13.4,18.9,24.4,2,1,12.2,487,42,0,3,Good
30.9,73.7,5.5,10.2,32.5,2.3,1.83,6.9,653,36,2,8,Moderate
35,80.2,11.9,24.4,30.4,14.1,1.71,4.5,617,28,3,6,Poor
31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571,17,2,0,Moderate
26,86.8,85.4,95.8,24.8,3.9,1.23,5.4,481,27,4,9,Moderate
25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459,21,2,11,Moderate
38.5,83.8,19.5,31,28,14.3,2.22,7.3,443,24,2,11,Poor
30.9,89,7.3,30.9,37.3,6.8,2.21,4.4,660,35,0,1,Poor
45.5,67.6,51.4,64.5,36.9,9.4,1.93,4.2,467,46,0,7,Poor
23.2,86.5,3.1,21.4,22.3,15,1.56,7.3,601,33,2,1,Moderate
38.9,77.5,5.2,25.6,43.7,15.4,2.32,4.2,610,18,1,13,Poor
32.8,63.6,33.1,54.9,33,19.6,1.48,4.7,655,34,1,6,Poor
49.9,91.6,26.6,51.1,31.8,29,2.48,5.4,849,41,3,4,Hazardous
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,23,2,3,Moderate
26.6,66,2.2,3.7,27.7,11.7,1.63,6.6,395,28,4,7,Moderate
40.6,92.2,80.4,103.6,45.8,12.1,1.97,6.8,744,30,3,8,Poor
26,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,22,2,0,Good
33,47,16.4,23,26.3,4.9,1.22,9.8,655,36,1,11,Moderate
17.7,75.2,3.5,8,18.6,2,1.04,13,593,28,1,7,Good
31.5,55.4,50.2,68.7,31.5,6,2.13,4.4,529,34,2,11,Poor
40,94.4,19.9,49.3,51,22.5,2.47,4.1,601,21,5,12,Hazardous
39.5,70.4,9.9,30.3,48.3,36.8,2.68,3.2,896,25,4,5,Hazardous
25.3,73.8,6.5,19.1,32.4,12.6,1.2,5.5,419,37,1,9,Moderate
18.9,63.2,6.2,8,13.9,5,1.09,10.3,410,26,0,3,Good
28.2,73.5,3.8,14.8,24.8,11.1,1.11,7,577,47,0,4,Moderate
34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811,26,5,12,Hazardous
27.8,56.7,6.7,18,26.9,6.1,1.64,6.1,371,32,4,3,Moderate
26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318,39,2,6,Good
38.2,110.1,0.1,12.5,41.7,15.8,1.98,6.2,709,15,2,2,Poor
27.8,79,16.6,24,25.5,5.2,1.06,10.3,359,12,4,3,Good
22.1,41,14.8,20.3,12.8,4.9,1.18,15,217,14,3,3,Good
22.9,57.4,15.9,22.8,20.6,7.5,0.91,10.4,336,42,6,11,Good
21.9,45.1,13.9,15.3,26.3,1.4,0.92,11.4,262,24,0,8,Good
22.7,68.4,14.6,25.8,26.5,3,1.37,5.4,321,55,3,9,Moderate
22.4,69,9.2,12.2,18.7,4,1.15,12.8,245,24,1,0,Good
26.1,61.7,5.3,8.6,19.5,9.1,1.07,15.4,381,31,1,6,Good
23.9,62.9,8.9,17.3,17.4,4.5,0.93,13.6,494,45,1,4,Good
24.6,62.7,13.5,17.9,29.4,7.9,1.51,6.2,510,50,5,7,Moderate
25.4,80,3.5,11.4,24.1,8.9,1.03,13.7,373,50,6,15,Good
25.5,63.8,2.2,4.3,24.9,4.7,1.1,13.4,459,42,1,0,Good
27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527,40,2,7,Good
28.2,61.2,1.2,10.9,22.7,7.1,1.86,8.6,501,35,0,14,Moderate
37.7,83,109.4,119.8,43.1,11.3,1.64,6.1,614,37,0,3,Poor
31.3,73.4,72.8,88.8,54.1,17.1,2.54,2.6,755,24,4,6,Hazardous
30.4,51.1,1.2,8,17.1,4.7,1,11.6,576,21,2,8,Good
42.6,106.6,82.4,97.2,50.6,16,3.17,2.8,719,29,1,0,Hazardous
32.4,88.5,37.8,57.3,48.5,21.2,2.23,3.4,769,28,2,7,Hazardous
24,43.4,5.4,9.5,15.8,1.7,0.98,11,441,25,0,2,Good
28.2,62.7,0.1,7.5,17.4,4.7,0.87,12,528,36,0,14,Good
31.2,62.3,0.9,8.7,20.4,15,1.49,8.6,599,39,2,5,Moderate
33.2,57.3,6.3,20.3,31.2,5.8,1.69,8.2,316,30,2,3,Moderate
43.4,78.1,37,52.3,44.6,16,2.03,2.5,799,44,0,9,Hazardous
36,89.8,33,47.9,26,-0.1,1.74,4.3,490,18,2,7,Poor
33.1,57.8,17.2,33,28.3,9.2,1.38,5.2,642,28,1,9,Moderate
34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457,22,3,13,Poor
23.1,39.7,23.4,27.8,20.4,9.6,1.06,10.5,314,11,4,3,Good
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,29,4,12,Good
42,77.8,36,43.7,52.3,22.3,2.42,5.6,846,28,2,13,Hazardous
35.8,80,37.1,44.5,38,14.8,2.03,3.5,538,45,4,2,Hazardous
32,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325,36,4,3,Moderate
23.8,79.3,9.2,10.6,22.5,5.5,1.05,12.3,544,19,2,6,Good
26.6,95.9,163.1,172.9,32.4,22.5,1.84,4.2,590,48,2,5,Poor
27,73.6,0.9,3.1,13.9,4.4,1.2,10.2,488,42,0,12,Good
35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635,35,4,2,Moderate
25.8,68.3,12.6,19,13,6.6,1.09,11.2,310,27,3,6,Good
22.3,66.1,11.3,15.4,26.8,14.1,1.32,5.5,497,20,2,2,Moderate
36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502,26,3,6,Poor
31.4,81.3,12.3,15.1,31.7,11.9,1.44,5.5,447,40,3,14,Moderate
22.5,56.1,27.4,33.8,19,5.4,0.87,16.6,492,48,2,13,Good
35.3,82.2,73.9,91.1,34.3,7.1,2.54,5.5,659,45,6,7,Poor
31.3,71.5,20.2,28.6,21.6,4.4,1.02,13.7,306,25,1,8,Good
31.7,71.7,18.9,24.8,13.5,3.7,0.78,23.4,369,18,2,7,Good
28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604,31,2,4,Moderate
55.9,87.8,33.9,52.7,28.6,17.5,2.51,2.9,834,12,2,13,Hazardous
28.7,69,19.1,33.7,19.4,11,1.24,9.7,589,33,3,11,Moderate
18,43.2,5.4,10,16.4,2.2,1.07,14.5,571,28,2,6,Good
27.6,51.3,6,12.7,32.6,6.4,1.44,5.1,386,25,3,5,Moderate
26.6,49,8.9,12.6,15.1,0.3,0.79,11.8,337,14,1,5,Good
28.7,55.1,20.5,23.6,17.3,2.6,0.86,11.9,347,35,1,7,Good
30.3,58.1,1.8,13.5,29.6,6.5,1.54,8.5,524,24,0,5,Moderate
20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412,18,6,10,Moderate
23.5,62.3,6.9,13.9,18.3,4.1,0.92,11.4,196,1,2,7,Good
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322,29,6,2,Good
36.6,93.3,46.6,54,29.8,19.6,2.12,4.7,624,47,2,1,Poor
29.2,73,26.4,30.5,9.3,4.1,1.14,11.2,350,46,1,9,Good
31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689,25,1,1,Moderate
23.1,50.9,6.1,9.2,14,8.3,0.87,11,287,23,0,4,Good
20.9,62.3,7.4,11.1,20.6,3,0.96,13.1,295,34,2,4,Good
39.8,108.4,30.3,39.3,32.2,21.5,2.03,3,572,20,2,1,Hazardous
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574,33,5,7,Moderate
37.9,67.4,57.9,71,21.3,12.3,1.89,4.1,824,37,1,5,Poor
26.7,77.8,4.8,10.4,20.8,6.4,1.05,15.3,294,42,1,3,Good
34.7,87.7,44.8,46,35.8,11.9,2.11,4.5,473,28,2,14,Poor
34.8,70.4,28.9,46.6,35.7,14.4,1.61,4.1,805,27,2,0,Poor
31.8,67.6,9.8,15.1,29.2,2.1,1.64,6.7,454,21,2,2,Moderate
49.2,81.8,89.9,113.7,48.6,21.6,1.97,2.7,654,21,0,3,Hazardous
46.4,79.4,116.9,130.4,39.5,25.1,3.14,2.8,577,27,3,0,Hazardous
23.6,72.6,1.1,4.7,14,4,1.12,13,300,33,3,15,Good
29.1,58,8.9,13.8,14.6,5.1,0.97,11.3,582,39,3,14,Good
34.7,61.7,30.8,38.5,44.7,26.7,2.31,6.4,436,21,1,3,Poor
21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295,44,3,11,Good
29.2,54,4.7,17.1,37.9,18.2,1.75,7.4,543,27,1,8,Moderate
29.9,69.7,4,13.5,25.5,10.5,1.52,11.8,668,29,2,12,Moderate
25.1,43.3,23,28.6,24.2,3.9,1.01,16,392,22,2,5,Good
23.2,44.4,4.2,10.9,15.6,8.9,0.86,10.2,289,5,1,7,Good
23.3,71.1,23,39,29.5,11.6,1.21,15.6,404,38,5,11,Moderate
30.1,88.2,66.2,70.9,25,14.4,1.37,6.4,512,37,1,10,Moderate
35,92.4,7.4,29,25,17.9,2.16,6.8,718,27,2,6,Poor
31.3,75.9,2.7,9.3,29.5,10.7,1.17,5.1,697,30,1,2,Moderate
31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446,35,4,2,Moderate
35.7,99.9,20.2,33.8,37.7,18.5,2.08,7.1,599,14,2,0,Poor
37.3,68.2,4.3,20.8,40.3,20,2.01,5.4,681,24,1,9,Poor
21.9,68,32,37.2,25.5,1.8,1.14,12.3,211,37,1,6,Good
24.9,47.4,26.1,32.3,11.3,9.8,0.89,17.5,266,17,1,7,Good
33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463,32,3,5,Moderate
25.1,81.3,11.9,21.9,33.8,8.1,1.48,13.9,625,16,1,1,Moderate
27.6,62.5,8.7,16,18.4,3.7,1.02,10.4,235,34,1,7,Good
26.8,50.9,17.8,25.3,21.3,3.2,0.98,11.5,346,29,3,8,Good
37.5,95.7,6.1,28,32.9,20.7,1.73,8.9,802,13,3,2,Poor
26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501,41,2,5,Good
23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441,22,0,3,Moderate
29.8,112.5,40.7,55.3,37.6,25.4,3.17,5.4,662,21,1,5,Hazardous
26.2,85.9,48.1,60.2,19.8,9,1.56,7.1,286,32,2,1,Moderate
26.9,74.7,2.7,10.7,25.6,4.3,0.99,10.2,271,41,1,4,Good
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642,19,0,12,Moderate
26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577,30,0,3,Good
36.6,113.1,143,167.3,41.8,11.7,2.43,2.7,644,34,0,3,Hazardous
37.1,105,124.5,136.4,41.9,26,2.6,2.6,849,36,2,3,Hazardous
19.6,74.7,1,4.6,22.9,4.1,0.94,10.4,388,31,0,5,Good
27,66.2,6.3,9.7,13.4,4.6,1,13.3,299,26,0,13,Good
33.8,68.4,24.4,30.4,25.6,7.7,1.26,5.4,599,21,5,11,Moderate
24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365,30,3,5,Good
21.7,76.4,20.8,25.5,20.9,2.8,0.95,10.1,506,19,1,3,Good
24.6,77.2,6.5,11.2,24.4,5.4,0.65,11.4,573,0,0,0,Good
26.5,45.3,9.4,15,13.1,0.4,0.99,11,224,34,2,2,Good
22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457,39,0,0,Moderate
39.5,109.6,84.7,99.4,30.1,18.9,3.48,3.2,792,6,1,8,Hazardous
28.4,65.8,10.9,22.2,27.5,11.9,1.7,6.1,524,19,1,11,Moderate
32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540,36,2,4,Poor
31.9,65.2,15.9,19.4,30.3,28.2,1.82,8.2,771,50,2,7,Poor
25.4,75.3,0.7,2.9,23.3,7.3,0.85,17,325,30,3,1,Good
43.2,85,152.7,178.1,38.6,28.2,2.7,2.8,627,22,2,0,Hazardous
23.3,70.8,23.7,36.1,23.5,8.4,1.43,7.6,450,28,2,6,Moderate
26.1,78.1,6.2,11.5,13,5.3,0.88,15.8,585,43,2,7,Good
32.2,81.3,3.9,15.4,46.5,20.9,2.03,3.1,705,23,0,12,Hazardous
32,62.5,0.1,5.1,20.2,4.6,0.89,10.2,201,22,2,14,Good
31.2,77.6,12.1,15.2,26.6,4.5,0.91,10.3,410,25,0,4,Good
22.6,72,40.4,46.2,14.6,4.5,1.04,14.8,270,20,0,9,Good
17.5,45,21.2,25.9,14.3,5.3,0.78,12.1,492,31,4,7,Good
47.1,104.3,0.7,3.4,34.4,5.9,2.34,3.3,844,46,2,6,Hazardous
23.7,73,16.4,21.4,21.7,9.5,1.66,6,386,33,3,5,Moderate
23.5,60.8,10.3,14.3,12.8,1.7,0.98,10.6,208,27,4,5,Good
39.7,85.9,67.6,88.8,21.3,22.3,1.9,4.5,616,27,4,5,Poor
47.3,64.8,2.5,21.8,41,17.3,1.95,2.6,779,14,1,12,Hazardous
34,83.2,19.3,39.1,45.1,21,2.28,9.9,496,38,3,6,Poor
22.9,63.8,2.9,9.4,16.7,0.4,0.98,10.7,593,29,1,12,Good
38.4,66.6,15.2,36.5,39.2,14.5,1.86,4.2,497,28,3,2,Poor
28.8,64.9,16.7,27.9,11.7,5.6,0.85,10.9,562,61,1,0,Good
35,76.4,20.3,28.2,19.9,11.2,1.68,6.6,430,32,2,4,Moderate
31.4,73.5,3.8,11.4,30.4,2.5,1.69,8.8,618,22,3,2,Moderate
17.4,43.7,10.8,17.5,25,1.5,0.83,10.2,515,25,1,0,Good
25.5,60.7,9.2,17.3,22.8,6.3,1.05,10.2,421,41,4,11,Good
25.5,59.6,5.6,12,11.6,7.6,1.01,12.4,582,31,2,0,Good
39.8,84.9,33.8,51.8,29.2,15.9,1.92,7.6,559,15,0,8,Poor
35,71.5,10.2,18.8,28.7,11.4,1.46,5.4,443,39,1,14,Moderate
27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338,23,0,1,Good
23.2,74.7,2.6,14.7,21.1,1.6,1.3,5.5,449,48,1,5,Moderate
22.1,49.1,11.2,13.8,25.3,6.8,0.72,12.5,448,40,4,11,Good
19.6,59.7,10.2,18.3,23.2,0.9,1.03,10.7,238,25,2,4,Good
29.7,63,25.6,27.1,16,5.1,1.06,11.6,471,42,2,7,Good
26.3,79.9,3,8.1,14.6,9.1,1.02,11.4,347,30,1,8,Good
27.1,56.4,52.6,60.5,26.8,7.7,1.33,11.9,428,38,1,6,Moderate
34,86.5,48.7,58.1,59.3,9.6,3.37,4.3,909,34,4,4,Hazardous
29,88.6,13.2,33.7,36.1,13.1,2.32,4.4,706,21,4,2,Poor
28.2,87.5,2.8,10.6,27,8.3,1.77,5,538,23,1,1,Moderate
41,60,46.3,58.9,38.9,19.7,1.45,7.2,418,40,4,8,Poor
34.3,48.9,18.1,27.7,29.2,5.4,1.65,5.6,304,26,0,3,Moderate
32.3,87.5,1.1,5.4,23.1,8.7,1.52,8.3,343,25,2,10,Moderate
27.3,79.7,3.5,7.7,27.5,5.4,1.05,11.3,285,20,0,12,Good
22.9,62.2,18.8,26.5,29.4,4.7,1.23,8,536,34,2,1,Moderate
22.3,68.9,9.3,14.7,17.2,3.5,0.97,10.8,373,50,1,8,Good
21.1,60.1,1.8,11.2,22,2.3,1.04,15.1,478,19,3,14,Good
32.2,77.3,6.3,18.6,17.3,13.3,1.6,8.4,454,30,3,2,Moderate
24.5,59.8,5.2,11.3,25.9,7.5,1.15,17.2,205,44,0,10,Good
25.8,77.8,3.3,9.3,19.5,6.3,1.27,13.3,343,29,2,8,Good
21.3,70.4,11.7,16.8,25.4,0.4,0.84,10.9,486,34,0,9,Good
30.8,69,8.1,21.3,17.8,8,1.37,5.6,635,19,2,2,Moderate
20.4,59.3,0.4,4.2,23.4,4.3,1,11.3,219,34,1,13,Good
29.9,78.1,57.8,60.5,26.5,11.6,1.19,8.9,578,28,3,3,Moderate
19.5,48.2,1,7.4,18.7,6.8,0.92,10.7,305,39,2,8,Good
29.5,41.5,4.7,8.7,21.5,1.8,1.09,10.3,210,41,1,5,Good
25.2,43.9,0.4,4.9,12.3,4.8,1.08,12.7,471,55,2,8,Good
39.1,91.6,139.5,154.6,49.8,17.7,3.32,5.9,566,35,3,2,Hazardous
24.9,70.5,0.2,5.9,12.5,6.9,1.07,11.9,240,33,3,1,Good
28.9,65.5,1.2,4.7,24,3.7,1.02,10.6,534,31,0,7,Good
21.9,71.2,5.1,10.4,17.1,3.8,0.95,10.4,208,26,1,4,Good
22.6,47.3,1.8,9,22.5,5,1.17,11.2,433,33,4,4,Good
35.2,51.3,0.5,16,36.2,11.6,1.59,5.3,694,27,3,8,Moderate
35.9,70.8,30.1,48.9,35.1,10.2,1.86,4,671,31,1,0,Poor
24.2,62.7,4.5,8.5,22.3,0.3,0.99,10.3,555,43,0,10,Good
31.5,80,86.1,89.9,22.7,10.5,1.41,6.1,647,19,4,6,Moderate
35,57.4,0.7,5.1,25.3,16,1.42,5.3,441,41,1,9,Moderate
18.8,57.1,37.2,46.4,37.4,24.5,2.01,5.3,528,43,3,8,Moderate
24,42.5,9.9,14.9,25.9,3.9,0.91,10.6,310,28,1,8,Good
43.5,89.6,20.9,46.8,41.5,14.2,2.31,5,594,8,2,1,Hazardous
21.7,75,10.3,15.5,13.4,4.5,1.15,13.3,285,23,4,10,Good
17.6,77.1,20,24.3,22.6,5.2,0.99,12.2,487,42,1,7,Good
30.9,49.5,0.3,5.5,20.1,3.5,0.93,11,237,29,4,4,Good
33.9,59.2,61.7,81.9,41.5,21.6,1.72,7.1,503,20,2,5,Poor
25.1,56.1,4.2,10.2,21.7,8.7,0.98,14.3,266,24,3,7,Good
23.5,54.8,2.3,9.1,15.4,5.7,1.06,11.8,325,38,4,6,Good
30,61.7,0.1,15.6,19.2,8,1.83,5.3,529,35,5,8,Moderate
32,48.9,14.9,36,29.4,27.4,2.41,3.9,697,27,1,12,Poor
33.8,68,41.8,47.8,34.5,9.3,1.37,5.9,652,26,2,1,Moderate
31,46.3,12.4,31.1,30.1,19.2,1.31,8,484,26,3,9,Moderate
33.4,76.3,3.2,7.9,23.7,3.8,1.89,8.2,388,20,0,5,Moderate
32.9,102.4,26.6,41.3,26.6,15.7,1.86,5.4,394,46,1,10,Poor
31,53.4,5.7,13.7,36.4,9.1,1.51,8.4,671,26,2,12,Moderate
35.4,85.1,18.4,25,25.3,6.5,1.56,5.3,425,42,0,6,Moderate
26.9,72.5,17.1,37.3,26.9,5.2,1.52,5.4,479,45,2,8,Poor
23,43.6,1.7,7.5,24.5,5.9,0.88,10.5,317,39,4,10,Good
40.5,87.4,11,17.9,19.4,15.2,1.44,9.4,476,25,3,9,Moderate
26.8,47.4,8.7,14.2,14.3,3.6,1.08,10.9,344,34,2,11,Good
39.3,104.7,1.1,14.1,38.6,15.6,2.74,4.2,634,29,4,4,Hazardous
34.2,89.5,95.6,110.4,34.9,10,1.98,5.4,566,20,3,3,Poor
40.8,80,27.9,44.3,52.3,19.3,2.06,3.8,530,33,0,1,Hazardous
33.8,92.2,18,41.1,25.2,15.7,2.11,3.7,407,18,2,5,Poor
29.9,72.8,59.1,70,24.4,26.2,1.97,6.7,465,41,5,5,Poor
29.4,64.6,13.7,29,27.6,13,1.83,5,722,25,1,5,Poor
21.7,42.4,13.3,17,17.8,7.4,1.09,11,239,32,2,7,Good
24.4,54,2.2,5.3,27.9,5.3,1.05,10.6,431,32,2,8,Good
27.6,84.1,0.8,12.4,26.5,13.1,1.55,7.4,668,27,2,5,Moderate
30.4,67.5,16.5,21,43.4,15.4,1.97,9.6,502,35,1,7,Poor
27.7,62.9,17.5,24,22.5,18.1,1.56,6,495,25,2,9,Moderate
23.3,48.1,32,35.7,23.1,1.1,0.93,10.6,321,38,0,2,Good
21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660,16,0,9,Moderate
25.4,44.4,0.4,7,22.9,3.7,1.16,10.3,451,31,0,3,Good
29.5,54.8,6.7,15.1,14,6.6,0.78,11.9,315,49,2,11,Good
45,82.6,17.4,27.2,46.3,10.1,2.82,3.7,592,19,5,6,Hazardous
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,23,3,6,Good
29.4,44.4,11.1,18.8,19.1,6.2,0.99,13.4,304,35,4,0,Good
31.9,91.7,5,6.8,24.8,16.8,2.05,3.5,828,31,1,8,Poor
36.9,84.6,8,23.5,36.2,20.6,2.29,5.9,745,33,2,6,Poor
32.2,62.2,20.2,34.3,33.7,26.4,2.12,8.3,512,34,3,6,Hazardous
24.1,77.2,0.1,9.6,20.9,2.2,0.86,10.7,539,36,2,5,Good
22.3,40.5,2.6,7.1,23.8,4.4,0.85,13.1,549,41,3,8,Good
31.2,60.4,2.5,5.5,22.1,15.1,2.06,3.6,732,34,5,9,Poor
28.3,82.6,18.2,25.7,29,6.7,1.49,6.1,563,27,3,7,Moderate
35.8,87.2,5.2,15.7,45.1,23.3,1.63,4.7,809,36,1,11,Poor
25.7,65.8,8.5,15.1,18.6,5,0.93,10.1,393,48,2,3,Good
28.5,81.6,25.1,33.5,18.5,4.2,1.02,15.3,448,28,1,3,Good
30.2,75.6,15.3,18.2,20.7,4.6,0.95,12.3,445,20,2,7,Good
24.5,41.7,24.9,29.5,20.3,5.6,0.99,12.4,285,41,1,8,Good
22.5,54.1,18.2,23.6,20.1,3.3,1.13,12.5,567,28,2,8,Good
25.9,41,1.8,0.1,20.4,3.5,1.13,15.2,293,8,1,0,Good
31.6,71.5,11,24.3,24.5,17.1,1.57,8,560,38,3,1,Moderate
22.9,48.7,11.4,16.3,21.3,8.7,1,14.5,516,24,3,5,Good
18,68.7,6,9.3,21.2,6.5,1.15,15.9,266,29,3,0,Good
23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345,33,0,7,Moderate
22.4,62,6.5,11.1,24.2,3.4,1.02,10.1,265,31,0,5,Good
34,91.8,12.8,42.5,38.3,4.8,1.76,4.2,633,37,1,2,Hazardous
35.9,78.3,2.7,4.1,19.1,10.8,1.41,5.2,620,25,1,3,Moderate
29.8,49,3.1,6.4,22.1,1.8,0.97,11.6,277,35,4,6,Good
25.8,62,6.4,8.2,24.8,6.1,0.98,12.1,379,27,1,0,Good
28.7,89.4,3.3,10.7,24.1,-0.1,1.89,12.3,590,37,2,3,Moderate
39,96.8,50.1,61.3,48.3,29.6,2.64,3.4,755,36,1,4,Hazardous
35.1,64.8,106.3,125.3,28.2,15.6,2.24,7.2,762,20,2,4,Poor
37.8,84,14.8,21.3,27.1,19.9,1.8,4,688,40,0,4,Poor
23,86.2,9.1,25.3,34.8,12.5,1.99,3.9,559,24,4,11,Poor
29.2,46.6,1.8,6.6,17.8,7,1.04,10.4,579,38,2,9,Good
25,80.5,3.1,7.8,15.7,3,1.05,11.3,489,33,0,3,Good
25.6,71.2,9.4,12.1,20.3,3.5,0.88,12.9,516,48,2,1,Good
23.5,62.3,0.8,10.5,32.4,14.9,1.03,8.1,614,27,3,4,Moderate
34.3,78.8,2.4,14.6,34.4,9.2,1.79,4.3,681,26,2,10,Poor
21.3,71.3,29.9,35.2,21.9,3.1,1,10.8,372,29,2,0,Good
35.4,108.9,49.7,71.8,48.3,18.6,2.53,4.8,712,26,2,6,Hazardous
28.2,74.4,3,9.7,15.6,3.1,1.01,13.2,419,37,0,4,Good
44.3,87.7,14,22.3,37.2,18.2,2.75,4.4,471,13,0,10,Hazardous
38.3,78.7,4.5,16.8,35,12.9,1.93,7.4,451,19,1,9,Poor
40.9,85.1,12.6,47.9,32.6,26.5,2.03,3.9,783,19,3,0,Hazardous
29.8,92.2,15.1,29.7,25.5,5.8,1.75,5.8,657,39,4,10,Moderate
32.4,82.2,11.2,16,26,4.5,1.45,6.8,601,47,2,0,Moderate
21.4,57.5,12.9,18,20.6,5.7,1.23,18.1,233,28,2,8,Good
33.8,68.6,29.9,42.3,20.9,22.2,2.31,3.8,430,28,2,8,Poor
32.7,86,7.5,17.3,31,15.3,1.3,5.8,683,30,0,12,Moderate
26.3,44.2,16.7,20.4,12.5,4.3,0.95,11.7,397,41,0,6,Good
33.8,62.6,10.1,20,26.6,11.2,1.78,6,322,20,0,3,Moderate
23.6,79.9,5.3,12.4,16.3,5,0.99,18.6,528,32,0,1,Good
29.6,54.4,9,12,14.3,5.1,1.08,11.1,438,39,1,11,Good
30.4,98.7,21.6,29.6,35.1,12.7,2.13,4,625,35,2,12,Poor
27.2,57.8,3.8,10.9,22.7,6.1,0.9,10.6,481,31,3,4,Good
24.2,51.3,25.2,30.8,24.6,7,0.97,12,506,40,6,6,Good
20,55,9.7,17.2,14.7,7.1,1,12.8,283,2,3,11,Good
20.1,47.4,1.8,4.3,24.1,5.8,0.89,11.4,551,36,2,9,Good
29.4,92.3,10.7,18,21.7,16.7,1.88,6.2,628,23,2,5,Moderate
31.2,83.8,43.8,61.7,20.5,9.2,1.65,7.1,621,11,0,2,Moderate
40.3,81.9,2,17.8,37.5,17.1,2.05,4.3,444,35,1,2,Poor
27.8,90.3,11.9,20.6,33.1,10.7,1.37,6.3,533,43,2,9,Moderate
22.1,75.2,3.2,8.8,14.8,3.6,1.03,15.2,424,28,1,4,Good
29.9,43.6,0.2,5.2,15.8,3,1.04,10,516,39,1,4,Good
32.8,56.3,11.8,15.8,13.7,4.7,0.97,11.8,286,46,0,8,Good
28.3,87.1,37,48.5,22.9,10,1.48,5.4,550,43,0,6,Moderate
24.1,70.9,10.6,17.7,23.4,4.1,1.47,6.3,475,46,3,7,Moderate
25.2,64,2.4,6.9,16.6,2.8,1.07,10.3,508,37,1,4,Good
24.7,70.4,8.1,12.2,17.3,4.2,1.04,11,243,30,1,4,Good
25.8,67.1,60.9,74.3,34.3,4.2,1.81,5.3,508,13,4,3,Moderate
24.4,66.9,3.1,11.3,22.3,0,1.14,10.6,230,27,3,8,Good
44.1,72.6,66.5,86.1,33.2,-0.2,2.49,2.7,565,21,2,6,Hazardous
33.6,68.8,19.1,42.3,55.8,9.4,2.42,4.4,663,51,5,7,Hazardous
31.8,68.2,10.7,21,25.4,12.2,1.34,3.4,637,28,2,1,Poor
33.8,72.7,60.4,71.8,30.7,19.5,1.52,7.9,610,31,1,8,Poor
