Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,roads,dump_sites,agricultural_fields,wind_speed,wind_direction,Air Quality
26.8,54.3,25.1,33.7,27.1,6.3,1.61,9.7,17.0,2.0,10.0,2.0,26.0,Moderate
34.2,99.4,8.9,32.0,32.3,7.9,1.71,3.3,31.0,0.0,3.0,0.3,18.0,Poor
32.5,74.3,5.0,18.7,32.3,15.5,1.83,4.8,40.0,1.0,2.0,0.4,24.0,Poor
35.7,102.1,39.7,49.8,19.5,13.0,2.04,7.2,17.0,0.0,4.0,0.4,30.0,Poor
25.8,47.3,9.4,16.9,34.1,6.4,1.92,5.3,31.0,3.0,3.0,0.5,26.0,Moderate
26.7,72.9,28.7,30.2,32.9,6.4,1.65,8.1,39.0,0.0,6.0,0.5,36.0,Moderate
50.4,93.5,17.1,33.7,42.7,17.6,2.56,3.1,30.0,4.0,3.0,0.7,30.0,Hazardous
43.4,88.4,35.6,48.0,39.4,14.4,1.78,4.6,58.0,1.0,0.0,0.4,29.0,Poor
26.8,63.4,13.8,21.4,18.8,2.8,1.0,10.3,13.0,2.0,10.0,0.4,30.0,Good
22.6,47.1,3.1,9.8,11.3,7.8,1.06,14.4,40.0,2.0,8.0,0.3,32.0,Good
25.9,71.3,2.5,4.7,13.3,3.9,1.09,15.4,28.0,2.0,6.0,0.5,30.0,Good
25.3,42.3,10.7,13.0,11.9,2.3,1.0,10.2,37.0,1.0,5.0,0.5,31.0,Good
25.6,74.7,3.7,8.6,20.2,1.0,0.84,14.9,34.0,2.0,4.0,0.6,25.0,Good
20.7,80.4,7.4,19.8,25.5,7.9,1.01,5.5,22.0,0.0,2.0,0.4,31.0,Moderate
41.9,100.5,93.8,116.9,41.8,4.7,2.75,6.9,32.0,5.0,0.0,1.8,24.0,Hazardous
27.8,70.8,3.0,20.7,30.8,17.7,2.02,3.5,11.0,4.0,12.0,2.1,21.0,Poor
23.1,60.0,86.4,95.6,28.8,7.9,1.11,5.5,36.0,4.0,6.0,2.5,23.0,Moderate
30.5,82.0,13.4,26.6,29.8,12.4,1.71,4.0,32.0,1.0,0.0,1.3,22.0,Poor
21.6,61.6,1.1,6.8,16.2,5.9,1.01,15.6,36.0,1.0,1.0,1.5,25.0,Good
26.8,52.0,14.8,20.5,26.8,2.2,0.76,10.9,40.0,3.0,7.0,0.9,38.0,Good
20.2,58.7,49.8,55.5,25.3,6.3,0.94,15.1,33.0,1.0,7.0,0.5,36.0,Good
28.3,80.8,3.3,7.9,19.8,2.0,0.92,10.9,31.0,3.0,3.0,0.6,37.0,Good
26.7,50.1,33.2,43.6,26.9,11.5,1.23,10.8,21.0,0.0,1.0,0.2,36.0,Moderate
26.5,69.5,4.0,11.9,24.9,5.0,0.98,13.8,22.0,1.0,3.0,0.2,33.0,Good
32.4,63.5,6.4,14.7,38.5,11.4,1.81,3.8,41.0,3.0,0.0,0.3,34.0,Poor
28.6,72.9,13.8,19.3,19.7,2.9,0.98,10.4,44.0,2.0,4.0,0.8,36.0,Good
30.5,58.2,11.8,24.8,22.9,15.9,1.52,5.1,27.0,3.0,4.0,1.0,32.0,Moderate
39.3,94.3,8.0,31.4,47.5,19.8,1.79,4.1,30.0,2.0,12.0,0.9,35.0,Poor
25.2,71.5,3.5,9.0,11.3,5.6,0.88,10.0,20.0,1.0,4.0,0.8,37.0,Good
33.5,110.4,34.0,49.8,30.4,2.6,2.06,4.2,41.0,2.0,7.0,0.8,38.0,Poor
21.4,78.9,0.5,6.7,13.1,1.9,1.02,10.7,36.0,1.0,12.0,0.8,36.0,Good
24.3,67.0,1.0,4.1,22.2,3.3,0.86,10.9,49.0,1.0,1.0,0.9,38.0,Good
26.2,60.3,19.1,22.0,15.0,5.1,0.84,13.5,21.0,3.0,3.0,1.1,39.0,Good
29.8,74.1,1.9,6.8,26.0,4.2,0.94,10.7,26.0,6.0,3.0,1.2,38.0,Good
35.9,77.2,14.9,21.1,29.4,12.3,1.5,5.4,32.0,1.0,0.0,1.1,31.0,Moderate
35.4,54.8,2.3,6.2,16.5,7.2,1.03,10.9,36.0,2.0,4.0,1.8,27.0,Good
37.2,87.6,1.3,14.3,32.3,1.1,1.7,3.4,27.0,5.0,10.0,1.7,30.0,Poor
21.3,91.2,3.0,18.5,37.5,14.2,2.76,3.2,21.0,2.0,9.0,1.9,23.0,Hazardous
25.6,78.5,7.8,12.4,13.6,6.1,0.89,10.1,38.0,0.0,10.0,1.9,29.0,Good
34.9,59.2,31.4,41.2,25.3,16.4,1.55,7.2,37.0,4.0,3.0,2.2,27.0,Moderate
32.0,69.6,8.1,23.1,33.8,7.5,1.48,10.0,20.0,1.0,1.0,2.6,27.0,Moderate
24.2,58.7,15.8,18.8,28.3,6.3,0.84,14.0,43.0,1.0,15.0,2.4,28.0,Good
39.0,76.1,9.4,22.0,37.0,14.4,2.45,6.2,41.0,0.0,6.0,2.5,26.0,Hazardous
30.6,71.9,7.7,21.3,16.9,3.5,1.73,5.6,31.0,1.0,0.0,2.5,23.0,Moderate
31.9,61.4,29.5,31.9,28.7,-0.3,1.06,11.1,30.0,3.0,16.0,2.5,27.0,Good
39.3,63.5,135.7,148.8,28.1,16.1,2.05,3.9,35.0,3.0,5.0,2.9,26.0,Poor
44.0,111.0,20.6,39.6,34.3,6.6,1.95,4.2,21.0,2.0,0.0,3.3,25.0,Poor
22.2,74.9,0.2,3.5,16.5,4.4,0.88,10.8,30.0,0.0,11.0,2.4,27.0,Good
28.9,55.0,0.9,7.3,18.2,5.9,1.11,11.3,8.0,2.0,0.0,2.8,25.0,Good
33.0,87.8,18.1,27.3,19.4,12.2,1.78,5.2,38.0,1.0,7.0,2.7,26.0,Moderate
31.4,53.2,18.5,27.9,28.9,13.0,1.42,5.7,14.0,3.0,9.0,2.7,28.0,Moderate
42.7,111.0,33.8,50.7,41.3,21.0,2.52,4.2,45.0,0.0,8.0,2.3,26.0,Hazardous
26.3,66.5,14.7,24.2,14.6,4.2,1.06,15.6,26.0,1.0,12.0,1.7,32.0,Good
30.9,62.0,3.5,7.3,31.0,10.4,1.36,5.0,27.0,3.0,10.0,3.1,33.0,Moderate
34.7,79.4,64.5,88.3,36.1,20.4,3.1,10.1,23.0,4.0,13.0,3.4,38.0,Hazardous
20.1,64.4,1.5,8.0,14.0,7.6,0.85,10.8,27.0,0.0,5.0,3.1,35.0,Good
28.7,80.3,26.8,41.0,32.8,7.2,1.65,8.8,44.0,2.0,4.0,3.7,32.0,Moderate
20.6,65.7,19.0,28.4,29.1,14.1,1.45,8.0,5.0,1.0,4.0,3.0,35.0,Moderate
31.0,89.4,10.8,17.3,31.3,3.3,2.01,5.9,42.0,1.0,11.0,3.2,32.0,Moderate
28.8,71.7,20.0,25.6,16.7,6.1,0.97,11.9,33.0,2.0,3.0,3.2,33.0,Good
31.3,86.0,60.5,65.1,29.3,1.7,1.68,7.8,17.0,1.0,9.0,3.4,36.0,Moderate
24.6,65.7,0.7,3.7,15.4,5.5,1.08,10.4,19.0,4.0,2.0,3.2,35.0,Good
23.3,48.6,18.3,24.0,20.1,5.1,1.14,10.2,46.0,3.0,2.0,3.1,36.0,Good
23.2,78.4,16.8,19.3,23.9,7.9,1.44,11.4,20.0,3.0,10.0,2.4,34.0,Moderate
30.4,68.6,15.4,29.7,31.0,11.3,2.06,3.6,18.0,3.0,7.0,1.3,37.0,Poor
20.5,61.9,2.6,4.7,24.8,5.4,0.97,11.3,41.0,4.0,0.0,1.2,33.0,Good
32.3,65.7,8.7,19.1,28.3,11.6,1.36,6.4,33.0,1.0,2.0,1.3,26.0,Moderate
25.9,49.6,1.0,12.6,23.0,16.9,1.96,5.5,20.0,3.0,0.0,1.5,25.0,Moderate
24.6,55.8,14.6,24.1,26.0,12.3,1.93,5.7,32.0,3.0,4.0,1.2,23.0,Moderate
26.9,81.0,8.9,15.8,27.3,9.5,1.39,5.9,19.0,3.0,4.0,1.3,26.0,Moderate
41.9,79.0,28.6,45.1,49.6,19.1,2.48,4.8,41.0,4.0,4.0,1.6,23.0,Hazardous
36.7,81.0,28.5,43.7,22.6,19.7,1.91,5.6,40.0,1.0,10.0,0.8,23.0,Poor
45.9,87.5,25.7,49.6,46.2,22.1,2.86,3.5,35.0,1.0,7.0,0.9,24.0,Hazardous
39.3,59.3,3.3,14.2,22.5,18.6,2.12,4.4,33.0,0.0,15.0,1.1,25.0,Poor
22.1,47.8,9.3,14.9,24.4,7.0,1.06,10.5,47.0,6.0,8.0,1.1,23.0,Good
32.7,77.8,2.9,11.1,27.8,12.3,1.86,5.7,29.0,0.0,8.0,1.4,23.0,Poor
34.7,85.2,30.0,42.1,36.6,5.2,1.55,7.6,18.0,1.0,7.0,1.9,23.0,Moderate
21.3,58.5,14.1,20.9,22.7,3.6,1.01,11.6,34.0,3.0,4.0,0.5,36.0,Good
29.8,61.0,12.4,18.5,21.8,4.8,0.94,10.4,50.0,1.0,3.0,0.3,35.0,Good
45.4,82.6,12.9,29.4,41.6,14.1,2.29,5.1,19.0,2.0,5.0,0.4,29.0,Poor
29.5,82.2,40.6,50.6,25.0,13.1,1.7,6.6,26.0,1.0,5.0,0.5,25.0,Moderate
22.9,51.9,5.5,9.6,24.2,6.9,1.15,10.3,34.0,1.0,5.0,0.4,31.0,Good
43.1,116.3,104.3,136.6,36.6,15.8,3.72,5.4,29.0,2.0,8.0,0.3,29.0,Hazardous
23.5,43.0,14.6,19.0,23.1,1.7,1.14,12.7,20.0,2.0,7.0,0.7,38.0,Good
24.5,59.7,2.8,8.4,19.1,4.3,0.85,10.3,41.0,2.0,3.0,0.4,35.0,Good
23.7,46.8,1.2,6.6,23.4,3.1,1.07,10.4,53.0,2.0,3.0,0.4,33.0,Good
33.9,75.6,9.0,20.9,32.1,20.4,2.36,3.4,31.0,2.0,6.0,0.2,35.0,Poor
23.0,70.8,1.2,5.8,22.1,6.7,0.88,12.7,20.0,2.0,2.0,0.6,28.0,Good
24.0,64.1,21.4,27.3,22.6,5.7,0.94,10.3,14.0,4.0,4.0,0.9,37.0,Good
33.4,50.3,36.7,43.4,35.6,5.3,1.31,5.4,32.0,1.0,3.0,1.0,37.0,Moderate
35.4,71.3,6.3,19.7,34.4,19.2,2.35,5.4,41.0,1.0,15.0,0.6,38.0,Poor
27.0,54.6,3.7,10.1,15.1,3.1,0.85,15.9,34.0,2.0,0.0,1.0,39.0,Good
26.2,80.8,13.3,15.8,26.0,7.3,0.98,11.8,29.0,2.0,2.0,0.4,31.0,Good
22.1,56.3,6.8,13.1,25.6,1.5,1.01,11.6,24.0,3.0,3.0,0.5,39.0,Good
43.7,66.8,33.4,36.4,34.5,8.0,1.79,4.7,19.0,2.0,4.0,0.2,41.0,Poor
46.1,80.1,7.7,10.4,34.4,30.5,1.85,5.7,38.0,1.0,9.0,0.3,32.0,Hazardous
34.9,65.4,16.7,27.2,18.4,12.1,1.67,9.8,39.0,3.0,4.0,0.5,28.0,Moderate
26.2,74.2,5.5,11.7,17.3,3.6,0.83,10.2,14.0,5.0,0.0,0.6,35.0,Good
39.7,79.0,46.0,74.8,46.3,14.9,2.24,5.9,45.0,2.0,11.0,0.3,34.0,Hazardous
24.0,49.5,4.8,15.5,19.6,7.2,1.02,10.2,35.0,3.0,7.0,0.7,37.0,Good
24.7,57.2,10.1,14.7,20.9,3.9,1.1,10.3,43.0,1.0,7.0,0.8,39.0,Good
25.5,56.8,5.6,11.7,24.9,2.5,1.09,11.2,16.0,4.0,8.0,0.9,38.0,Good
24.5,65.2,25.0,28.4,22.0,3.8,0.96,11.7,16.0,3.0,1.0,0.7,38.0,Good
19.8,60.6,15.0,21.7,22.9,3.9,0.99,10.4,28.0,2.0,5.0,0.6,37.0,Good
41.9,84.4,75.7,99.5,30.0,17.5,2.32,3.0,35.0,3.0,9.0,1.0,38.0,Hazardous
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,47.0,2.0,3.0,0.7,35.0,Good
37.1,70.6,9.6,28.2,33.2,5.2,2.49,3.7,37.0,1.0,7.0,0.9,38.0,Poor
25.7,68.2,0.7,8.1,22.4,5.3,1.04,13.4,27.0,1.0,8.0,1.1,38.0,Good
30.3,91.8,1.0,18.8,23.1,4.4,1.31,5.9,19.0,3.0,0.0,0.8,38.0,Moderate
23.9,62.4,0.8,13.0,26.1,7.2,1.56,6.1,42.0,4.0,1.0,1.1,37.0,Moderate
28.3,51.1,63.7,75.6,32.3,16.4,1.57,7.6,20.0,5.0,0.0,1.3,37.0,Moderate
29.3,92.0,18.4,42.3,32.0,26.4,3.1,3.9,46.0,3.0,6.0,1.6,38.0,Hazardous
22.3,73.0,0.1,8.4,20.7,3.6,1.18,10.3,27.0,2.0,13.0,1.9,26.0,Good
29.0,64.4,23.5,23.1,35.1,17.3,2.13,5.0,45.0,0.0,3.0,2.0,27.0,Poor
20.1,67.0,1.9,8.8,26.6,6.5,1.06,12.6,36.0,3.0,5.0,2.0,36.0,Good
43.8,103.9,12.2,32.6,43.2,25.5,3.36,6.4,28.0,3.0,10.0,2.4,37.0,Hazardous
22.8,62.2,21.4,29.9,23.0,0.5,1.46,6.8,24.0,3.0,7.0,2.2,37.0,Moderate
30.4,66.4,1.1,0.0,24.0,4.3,0.96,11.1,26.0,1.0,2.0,3.4,24.0,Good
29.4,85.8,90.1,94.2,30.5,10.7,1.35,5.6,34.0,2.0,12.0,3.4,26.0,Moderate
25.6,61.4,8.9,8.8,18.1,5.4,1.07,12.1,30.0,3.0,6.0,3.7,26.0,Good
29.4,93.3,149.1,168.1,34.9,11.7,1.79,4.2,24.0,1.0,5.0,3.5,26.0,Poor
28.6,65.4,12.2,14.7,30.5,9.2,1.56,10.3,28.0,4.0,5.0,3.1,26.0,Moderate
29.8,76.9,5.1,11.5,29.6,3.9,1.61,5.6,30.0,2.0,8.0,2.4,27.0,Moderate
22.2,46.8,0.9,5.7,24.3,5.7,0.93,15.6,8.0,2.0,3.0,2.6,28.0,Good
26.9,52.2,9.1,17.4,28.0,3.0,0.96,12.1,34.0,2.0,12.0,2.8,27.0,Good
22.8,57.6,7.4,12.6,17.5,7.7,0.86,11.5,20.0,1.0,11.0,2.5,27.0,Good
19.8,76.1,15.9,20.4,25.3,4.2,1.01,10.3,18.0,2.0,6.0,2.2,28.0,Good
19.8,54.8,4.6,17.5,24.3,14.5,1.52,5.6,13.0,1.0,6.0,2.0,28.0,Moderate
20.1,55.0,8.5,10.7,24.6,6.3,1.07,17.2,12.0,5.0,2.0,2.3,28.0,Good
33.0,62.1,12.9,30.8,35.3,6.5,2.28,6.6,16.0,3.0,3.0,2.1,29.0,Poor
30.8,60.9,7.2,20.0,36.1,13.7,1.37,5.1,22.0,1.0,1.0,2.1,32.0,Moderate
41.9,85.5,32.2,37.1,40.9,21.9,2.07,6.1,49.0,2.0,5.0,2.1,28.0,Poor
41.4,79.4,28.4,40.4,28.0,17.8,1.15,6.4,24.0,3.0,6.0,2.0,28.0,Moderate
34.4,107.9,18.7,33.4,37.1,15.3,1.99,5.4,31.0,3.0,0.0,2.0,29.0,Poor
36.4,78.0,31.2,47.9,30.4,6.8,2.07,4.4,34.0,5.0,8.0,1.8,27.0,Poor
41.9,98.7,99.2,115.1,54.9,20.5,2.62,3.0,31.0,1.0,2.0,2.4,30.0,Hazardous
24.3,49.0,14.6,21.3,21.8,5.4,0.96,11.8,29.0,0.0,7.0,1.8,30.0,Good
23.4,65.6,8.9,10.0,27.0,6.3,1.03,10.5,18.0,0.0,9.0,2.1,28.0,Good
22.6,74.6,3.4,16.0,17.5,4.9,1.6,6.2,44.0,4.0,11.0,1.7,26.0,Moderate
25.6,73.6,4.9,9.3,23.1,-0.1,1.08,18.8,48.0,0.0,10.0,1.1,23.0,Good
29.5,62.5,55.2,63.2,30.6,25.9,1.84,3.4,13.0,1.0,12.0,1.0,30.0,Poor
31.6,86.5,17.9,23.5,28.0,8.6,1.72,5.4,19.0,1.0,9.0,0.6,31.0,Moderate
46.4,85.3,11.0,31.5,49.6,11.5,2.89,8.4,27.0,2.0,6.0,0.8,31.0,Hazardous
30.0,67.1,47.1,61.3,22.1,7.3,1.82,5.7,20.0,1.0,4.0,0.9,31.0,Moderate
20.2,47.0,10.4,16.1,12.3,1.7,1.14,12.3,35.0,3.0,5.0,0.7,31.0,Good
20.0,78.2,1.8,5.5,13.9,7.8,1.03,11.1,22.0,4.0,12.0,0.5,30.0,Good
36.1,70.2,19.1,37.6,27.8,20.7,2.21,3.9,51.0,2.0,5.0,0.5,30.0,Poor
27.0,65.3,96.9,109.7,22.4,9.9,1.62,5.5,41.0,3.0,5.0,0.3,33.0,Moderate
25.6,69.6,3.4,9.3,23.0,6.0,0.73,10.2,32.0,2.0,11.0,1.2,39.0,Good
24.9,64.5,14.8,20.2,13.2,6.4,1.11,11.5,40.0,2.0,5.0,1.3,38.0,Good
30.2,49.8,0.7,8.0,30.5,7.2,1.56,5.9,41.0,2.0,2.0,1.3,38.0,Moderate
22.3,60.5,17.2,23.1,16.2,5.7,1.07,11.2,24.0,2.0,10.0,1.1,30.0,Good
17.5,51.6,7.5,22.3,18.4,16.8,1.56,10.7,21.0,4.0,2.0,0.7,27.0,Moderate
19.3,46.8,22.4,25.0,13.5,5.3,1.17,10.3,30.0,1.0,7.0,0.3,18.0,Good
23.8,70.3,0.8,12.7,17.8,11.1,1.42,5.5,38.0,1.0,6.0,0.6,35.0,Moderate
36.1,84.1,25.6,42.0,35.7,14.7,2.39,5.3,31.0,1.0,7.0,0.7,22.0,Poor
31.4,69.4,11.1,28.2,27.4,17.7,2.02,5.8,14.0,5.0,0.0,0.9,30.0,Poor
24.6,73.2,9.4,10.1,25.5,8.8,0.77,17.8,21.0,4.0,9.0,1.4,25.0,Good
44.9,100.1,4.9,29.7,42.0,9.1,3.11,4.5,29.0,1.0,5.0,1.3,27.0,Hazardous
26.3,52.6,3.7,8.9,27.3,7.8,1.03,10.8,29.0,2.0,8.0,1.5,22.0,Good
28.6,86.6,8.7,20.7,18.6,6.9,1.79,8.3,49.0,4.0,8.0,1.7,22.0,Moderate
36.7,82.4,9.6,18.8,27.3,23.2,1.7,4.3,16.0,0.0,7.0,1.8,21.0,Poor
22.0,47.7,2.9,6.0,16.3,7.0,0.9,13.9,35.0,3.0,4.0,1.7,22.0,Good
46.8,117.3,21.6,29.6,25.3,26.7,2.31,6.4,44.0,3.0,4.0,1.7,22.0,Hazardous
27.5,61.0,41.9,58.8,26.0,12.0,1.6,5.6,52.0,3.0,5.0,1.3,26.0,Moderate
30.3,72.1,11.3,33.6,34.4,15.1,2.0,5.0,25.0,4.0,6.0,1.4,26.0,Poor
28.9,58.3,2.7,11.8,22.8,5.2,1.39,8.9,34.0,2.0,4.0,1.1,26.0,Moderate
37.1,83.0,22.5,36.4,34.9,16.7,1.97,5.5,35.0,2.0,9.0,0.9,28.0,Poor
22.7,53.6,1.5,4.5,23.8,3.3,1.06,12.0,31.0,1.0,4.0,1.2,27.0,Good
27.4,78.8,26.0,28.3,20.0,2.1,0.99,11.1,29.0,3.0,2.0,1.5,33.0,Good
26.4,76.1,36.5,40.9,31.7,15.2,2.09,6.8,34.0,3.0,8.0,1.0,29.0,Poor
30.2,74.5,19.8,54.1,39.9,25.7,2.29,6.4,4.0,2.0,13.0,1.6,24.0,Hazardous
26.8,72.2,1.0,11.3,21.8,12.5,1.41,6.0,36.0,2.0,1.0,1.8,25.0,Moderate
38.0,94.7,16.0,35.7,30.4,11.7,2.26,4.8,31.0,2.0,5.0,1.7,27.0,Poor
21.8,56.2,8.4,12.5,15.8,4.0,1.05,10.1,27.0,5.0,10.0,2.0,29.0,Good
24.9,60.1,8.8,16.7,22.5,2.6,0.97,15.5,50.0,3.0,8.0,2.1,28.0,Good
27.2,60.6,16.5,23.5,30.5,9.0,1.69,6.6,23.0,2.0,8.0,2.4,28.0,Moderate
35.9,61.0,8.3,18.0,21.4,16.3,1.41,11.6,25.0,3.0,6.0,2.3,28.0,Moderate
20.6,78.2,6.5,21.6,41.6,7.4,2.71,4.8,49.0,4.0,0.0,2.3,28.0,Hazardous
49.9,101.3,34.6,51.9,47.7,17.8,2.72,3.3,21.0,3.0,7.0,2.0,26.0,Hazardous
36.2,76.4,35.3,47.4,30.3,9.9,1.54,6.5,24.0,1.0,7.0,1.4,26.0,Moderate
31.3,80.8,79.4,92.1,24.1,8.0,1.58,7.6,28.0,0.0,10.0,1.6,26.0,Moderate
26.3,46.7,1.4,4.3,12.2,3.4,1.04,11.3,38.0,7.0,2.0,2.0,22.0,Good
30.6,57.8,24.3,31.5,15.4,19.9,1.48,5.4,32.0,2.0,12.0,1.9,21.0,Moderate
37.3,75.5,12.5,21.1,18.3,9.7,1.49,8.9,17.0,4.0,4.0,1.8,23.0,Moderate
28.7,67.6,34.5,44.7,17.3,17.4,1.36,10.1,24.0,0.0,4.0,2.1,23.0,Moderate
25.8,65.3,27.6,32.9,15.2,7.2,1.12,10.4,23.0,1.0,3.0,1.7,23.0,Good
35.5,76.3,9.5,23.0,23.6,6.8,1.76,5.2,29.0,2.0,10.0,2.1,24.0,Moderate
22.5,48.6,0.8,6.2,12.9,8.0,1.02,10.5,34.0,1.0,1.0,2.2,24.0,Good
29.2,72.2,6.9,13.4,20.9,7.7,0.97,13.4,34.0,0.0,8.0,2.9,24.0,Good
27.2,88.6,7.1,26.7,36.6,16.7,2.39,9.9,12.0,1.0,2.0,2.7,23.0,Poor
32.0,80.6,9.7,19.5,31.0,3.9,1.52,6.0,40.0,1.0,5.0,2.7,24.0,Moderate
35.8,69.6,2.3,10.5,24.4,10.9,1.66,10.9,32.0,0.0,0.0,2.5,27.0,Moderate
36.6,74.7,11.1,30.9,28.1,16.3,1.04,3.8,43.0,2.0,9.0,2.9,25.0,Poor
27.0,46.5,8.3,14.0,20.7,5.5,1.02,15.4,34.0,3.0,5.0,3.0,23.0,Good
23.5,50.8,0.6,6.7,13.3,3.1,0.95,14.1,41.0,2.0,8.0,2.7,26.0,Good
23.3,90.9,39.8,55.4,30.8,5.5,1.44,5.5,34.0,8.0,5.0,3.0,26.0,Moderate
30.9,56.8,9.2,19.2,28.4,5.4,1.82,5.9,43.0,1.0,8.0,2.6,26.0,Moderate
34.8,60.9,38.2,54.1,24.0,15.6,1.28,10.8,35.0,1.0,5.0,2.3,27.0,Moderate
38.9,66.3,3.7,24.0,28.9,2.8,2.24,3.6,29.0,5.0,8.0,2.8,24.0,Poor
28.8,41.3,0.2,6.5,14.9,1.4,0.87,10.4,52.0,2.0,8.0,2.8,27.0,Good
44.9,103.0,8.1,28.8,50.1,35.0,2.54,3.9,38.0,1.0,6.0,3.3,26.0,Hazardous
31.1,76.5,2.8,9.5,19.0,1.9,0.97,13.1,35.0,2.0,2.0,2.6,26.0,Good
29.3,42.3,20.7,25.3,15.4,6.2,1.0,11.8,17.0,2.0,4.0,2.8,26.0,Good
30.7,84.2,22.4,38.4,26.8,12.3,1.34,6.1,17.0,3.0,2.0,2.5,30.0,Moderate
28.8,50.2,2.9,8.0,20.7,5.0,1.08,11.6,32.0,3.0,11.0,3.5,28.0,Good
35.0,109.1,50.6,67.5,34.4,16.4,1.56,5.4,31.0,1.0,9.0,3.5,26.0,Poor
40.9,72.9,22.5,43.4,36.6,21.1,2.33,2.7,23.0,1.0,6.0,3.0,30.0,Hazardous
38.4,66.0,73.2,85.4,40.9,17.1,1.96,3.6,31.0,4.0,3.0,3.2,29.0,Poor
28.6,81.6,7.6,14.1,12.0,3.7,0.92,10.3,45.0,3.0,2.0,3.1,27.0,Good
42.2,86.6,23.0,34.8,34.9,6.2,1.96,3.8,36.0,2.0,6.0,3.0,28.0,Poor
35.6,71.9,10.3,27.3,22.6,10.4,1.66,4.4,18.0,3.0,13.0,3.4,30.0,Poor
31.5,44.3,10.6,17.6,17.7,5.1,1.13,12.7,28.0,3.0,6.0,2.8,28.0,Good
19.3,50.7,4.2,10.2,20.8,1.5,1.05,11.4,21.0,1.0,10.0,2.2,28.0,Good
25.7,77.9,16.2,22.9,12.2,8.1,0.95,11.5,26.0,3.0,7.0,2.1,27.0,Good
25.2,90.6,16.8,27.6,20.8,16.1,1.39,5.0,25.0,0.0,8.0,2.2,28.0,Moderate
25.3,86.3,6.2,15.8,33.6,9.9,1.66,5.8,25.0,1.0,4.0,2.5,27.0,Moderate
32.1,72.6,11.3,25.5,21.7,7.1,1.55,6.7,17.0,3.0,5.0,2.4,28.0,Moderate
22.3,58.5,30.3,36.3,18.8,4.1,0.87,10.3,28.0,0.0,2.0,2.8,29.0,Good
35.2,79.8,11.3,18.6,37.1,8.2,1.42,9.6,24.0,2.0,7.0,3.2,30.0,Moderate
35.9,67.9,10.6,19.3,31.8,10.9,1.36,8.2,0.0,3.0,5.0,3.6,29.0,Moderate
38.8,115.0,13.9,39.3,28.8,25.0,2.97,5.7,50.0,4.0,7.0,3.6,29.0,Hazardous
25.0,41.5,3.9,8.1,14.3,4.4,0.83,12.0,40.0,1.0,2.0,2.4,29.0,Good
24.4,56.1,3.7,13.4,27.5,7.4,1.85,8.1,26.0,3.0,7.0,2.9,29.0,Moderate
32.6,68.5,9.4,19.9,29.3,15.3,1.77,11.9,30.0,0.0,6.0,2.4,29.0,Moderate
20.9,45.0,34.0,40.2,16.9,5.1,1.01,10.9,18.0,1.0,6.0,3.1,30.0,Good
34.2,97.3,15.2,26.6,30.9,11.0,1.74,7.1,46.0,1.0,7.0,1.8,29.0,Poor
38.6,54.8,38.0,48.2,22.1,16.5,1.63,6.0,48.0,3.0,5.0,1.1,28.0,Moderate
27.1,75.3,0.1,7.1,13.8,7.9,1.03,12.7,31.0,2.0,21.0,1.0,28.0,Good
30.1,72.9,0.0,5.9,26.5,8.1,1.21,13.0,40.0,0.0,7.0,1.3,29.0,Moderate
31.8,64.1,56.6,67.9,36.6,17.6,2.13,5.4,31.0,2.0,6.0,1.3,28.0,Poor
19.7,47.2,3.0,11.0,12.5,5.9,1.12,24.8,16.0,2.0,8.0,1.2,28.0,Good
28.7,73.6,16.2,20.1,27.1,3.4,0.88,10.2,25.0,4.0,3.0,0.9,28.0,Good
35.1,72.5,0.8,17.8,28.7,5.1,0.92,14.7,31.0,3.0,3.0,0.7,24.0,Moderate
36.5,88.6,37.0,49.3,26.4,8.3,2.43,3.5,25.0,5.0,9.0,0.8,28.0,Hazardous
36.4,61.9,15.7,22.4,21.9,13.4,1.75,5.7,27.0,2.0,9.0,0.9,28.0,Moderate
22.0,60.6,5.0,11.8,22.6,3.7,1.04,13.5,29.0,4.0,10.0,1.3,28.0,Good
21.2,55.0,8.5,13.5,15.8,7.1,1.04,13.0,29.0,3.0,0.0,1.0,27.0,Good
27.7,45.9,7.1,8.4,21.0,6.8,1.14,10.4,30.0,5.0,5.0,1.4,29.0,Good
22.0,49.9,1.5,3.0,16.1,4.8,0.97,20.0,19.0,0.0,7.0,1.5,29.0,Good
29.1,120.7,34.7,56.0,38.8,21.7,2.67,3.2,22.0,1.0,8.0,1.4,29.0,Hazardous
37.3,95.3,19.1,29.0,31.2,10.5,2.17,4.3,17.0,2.0,8.0,1.3,29.0,Poor
27.1,47.0,1.2,2.7,12.5,4.8,0.96,10.4,39.0,2.0,2.0,1.2,28.0,Good
18.8,75.9,10.5,18.4,13.9,5.8,0.76,11.4,8.0,1.0,8.0,1.7,23.0,Good
27.1,69.5,1.2,3.2,23.2,5.5,0.98,15.4,41.0,3.0,7.0,1.6,30.0,Good
54.7,81.7,101.8,133.7,35.0,26.1,2.32,5.4,43.0,6.0,7.0,1.7,29.0,Hazardous
29.2,93.2,35.8,46.6,34.6,11.0,1.34,6.9,26.0,5.0,1.0,2.1,29.0,Moderate
50.2,85.1,14.4,31.2,30.7,16.5,1.85,6.7,3.0,0.0,2.0,2.8,29.0,Poor
